Болезнь,Симптомы
Полиомелит,температура;головная боль;рвота;вялость;напряженность мыщц шеи;напряженность мыщц спины;боль при глотании;паралич;затруденное дыхание
Потеря сознания,обморочное состояние;головокружение;вялость;тошнота;бледность кожи
Приобретенные пороки сердца,учащенное сердцебиение;одышка;отеки;сердечная недостаточность
Пролапс митрального клапана,боль в груди;чувство нехватки воздуха;чувство частого сердцебиения;чувство редкого сердцебиения;головокружение;обморок;температура;головная боль
Птичий грипп,затруденное дыхание;пневмония;боль в мыщцах;насморк;кашель;диарея;рвота;боль в животе;боль в груди;кровотечение из носа;кровотечение из десен
Радикулит,онемение;покалывание;вялость;боль в пояснице;напряженность мыщц поясницы;онемение;снижение тонуса мыщц ног;атрофия мыщц;боль в шее;напряжение мыщц шеи;бессоница;боль в спине;снижение чувствительности кожи;снижение тонуса мыщц;боль в груди;повышенная потливость;боль в руке
Раз предстательной железы,частое мочеиспускание;боль в промежности;кровь в моче;обль в костях;боль в груди;интоксикация;снижение массы тела;вялость;бледность кожи;кровь в сперме
Рак желудка,вялость;утомляемость;снижение веса;снижение аппетита;боль в животе;рвота;тошнота;отрыжка
Рак кожи,поверхностная эрозия;бляшки;подкожные узелки;язвы;кровотечения
Рак легких,кашель;одышка;боль в груди;кровохарканье;снижение веса;вялость;апатия;температура
Рак молочной железы,узлы в молочной железе;изменение формы молочной железы;сморщивание кожи молочной железы;ощущение боли в молочной железе;припухность на соске;втяжение соска;кровянистые выделения из сосков;увеличенные лимфатические узлы
Рак мочевого пузыря,кровь в моче;раздражение мучевого пузыря;частое мочеиспускание;ложные позывы к мочеиспусканию;боль в малом тазу;боль в боковых отделах живота
Рак почки,кровь в моче;боль в боковых отделах живота;снижение веса;варикоцеле;припухлость в поясничной области;вялость;снижение аппетита;недомогание;температура;анемия;бледность кожи
Рак прямой кишки,кровотечение из прямой кишки;запор;диарея;метеоризм;вздутие живота;тенезмы;боль в области прямой кишки;снижение веса;бледность кожи;недомогание;вялость;утомляемость;анемия;кишечная непроходимость;боль в животе;запор;рвота
Рак тела матки,кровянистые выделения из половых путей;обильные влагалищные выделения;боль в нижней части живота
Рак толстой кишки,кровотечение из прямой кишки;боль внизу живота;метеоризм;снижение массы тела;анемия
Рак шейки матки,кровянистые выделения из половых путей;боль в спине;боль в ногах;снижение массы тела;отек ног;кровь в моче
Рак яичников,частое мочеиспускание;кровянистые выделения из половых путей;боль в животе;нерегулярность менструаций;запор
Рассеянный склероз,потеря способности двигаться;вялость;головокружение;замедленность речи;снижение зрения;парезы;нарушение походки;онемение
Растяжение мыщц,опухоль на месте растяжения;появление шрамов;потеря эластичности мышц;боль в суставе
Растяжение связок,боль в суставе;припухлость кожи;деформация сустава;покраснение кожи
Ротавирусная инфекция,тошнота;рвота;диарея;боль в животе;температура;вялость;вялость;заложенность носа;обложенный язык;обезвоживание;синяки под глазами;бледность кожи;заостренные черты лица
Сердечная недостаточность,одышка;кашель;учащенное сердцебиение;утомляемость;вялость;недержание при мочеиспускании;отек ног;синюшность кожи;боль под правым ребром;депрессия;бессоница;сонливость
Сибирская язва (кишечная форма),боли в области желудка;диарея;рвота;интоксикация;вздутие живота
Сибирская язва (кожная форма),покраснение кожи;головная боль;сонливость;волдыри;язвы;температура;вялость
Сибирская язва (легочная  форма),озноб;температура;покраснение глаз;чихание;кашель;насморк
Симптоматические артериальные гипертензии,повышенное артериальное давление;нарушение эндокринной системы;опухоль головного мозга;спазм сосудов;атеросклероз;порок сердца;сахарный диабет;нарушения мозгового кровообращения;энцефалит;инсульт
Синдром гипервентиляции,учащенное дыхание;боль в ногах;стенокардия;боль в груди;беспокойство;обезвоживание;снижение зрения;покалывание в пальцах;боль в руках;обморок
Синдром хронической усталости ,утомляемость;нарушение памяти;рассеянность внимания;фарингит;увеличенные лимфатические узлы;боль в мыщцах;боль в суставе;головная боль;бессоница;вялость
Сифилис,образование твердого шанкра;гнойные истечения;сыпь;пустулезные высыпания;зуд;бородавки;недомогание;боль в горле;температура;поражение внутренних органов;поражение мозговых оболочек;нарушение психики;паралич
СПИД,увеличенные лимфатические узлы;гриппоподобные заболевания;кашель;температура;снижение аппетита;ломота;вялость;повышенная потливость;хроническая усталость;снижение веса;диарея;красные опухолевидные образования;сухой кашель;затруденное дыхание
Средний отит,боль в ухе;кровотечения;гнойные истечения;разрыв барабанной перенонки;температура;тошнота;рвота;временная потеря слуха
Деменция,снижение интеллекта;бредовое расстройство;нарушение памяти;повышение аппетита;повышенное либидо;эпилепсия;синдром патологического накопительства
Столбняк,спазм жевательных мыщц;неподвижность челюсти;боль в шее;боль при глотании;напряженность мыщц брюшного пресса;температура
Судороги,потемнение в глазах;спутанность сознания;фырканье;девиация глаз;судорога;недержание при мочеиспускании;обморок;недержание при дефекации;тошнота;онемение;головокружение;повышенное слюноотделение;пеноотделение;обморок;мышечные спазмы
Тепловой удар,головная боль;головокружение;вялость;утомленность;тревога;дезориентация;спутанность сознания;судороги;обморок;галлюцинации;учащенный пульс;температура;сухость кожи
Травмы головы,ушиб;гематома;кровотечения;головная боль;боль в шее;тошнота;прозрачная жидкость из носа;температура;спутанность сознания;нарушение координации движений;расфокусировка зрения;нарушение речи;затуманенность зрения;анизокория;затруденное дыхание;обморок
Тромбоэмболия легочной артерии (ТЭЛА),одышка;учащенное дыхание;кровохаркание;боль в груди;бледность кожи;цианоз;синюшность кожи;учащенное сердцебиение;кашель;повышенная потливость;сонливость;судороги;головокружение;обморок
Урогенитальный хламидиоз,выделения из уретры;выделения из влагалища;боль при мочеиспускании;боль при половом акте;боль в области промежности;боль в области мошонки;боль в области прямой кишки;боль в животе;боль в области поясницы
Фарингит,боль в горле;першение в горле;сухой кашель;температура;увеличенные лимфатические узлы;боль при глотании;сыпь;увеличенные небные миндалины;ринит;бронхит;интоксикация;боль в мыщцах
Фидибрилляция предсердий,учащенное сердцебиение;утомляемость;одышка;боль в груди;повышенная потливость;потемнение в глазах;обморок;недержание при мочеиспускании;головокружение
Холера,диарея;рвота;боль в животе;судороги в ногах;обезвоживание;вялость;головокружение
Хориоретинит,затуманенность зрения;дезориентация;расплывчатость изображения;куриная слепота;гало;мушки
Хроническая недостаточность мозгового кровообращения,утомляемость;бессоница;сонливость;головокружение;головная боль;раздражительность;быстрая смена настроения;нарушение памяти;шум в ушах;плохая усвояемость информации;шаткая походка;тремор рук;слабоумие;нарушение координации движений
Хронический лейкоз,недомогание;увеличенные лимфатические узлы;увеличенная селезенка;вялость;снижение массы тела;кровотечения;боль в левом подреберье;повышенная потливость;анемия;температура
Цитомегаловирусная инфекция,лихорадка;вялость;увеличенные лимфатические узлы;боль в мыщцах;поражение почек;поражение легких;поражение сеткачки глаз;поражение поджелудочной железы
Чума,озноб;температура;головокружение;вялость;боль в мыщцах;тошнота;рвота;поражение нервной системы;наружение координации движений;нарушение походки;нарушение речи;увеличенные лимфатические узлы;свищи;загноение бубонов
Шок,чувство страха;чувство возбуждения;синюшность кожи;боль в груди;дезориентация;повышенная потливость;сокращение мочеиспускания;головокружение;обморок;пониженное артериальное давление;бледность кожи;повышенная потливость;учащенный пульс;затруденное дыхание;нарушение памяти;вялость
Эндокардит,температура;озноб;повышенная потливость;боль в мышцах;боль в суставе;бледность кожи;сыпь;подкожные узелки;шумы в сердце;синдром барабанных палочек
Энтеробиоз,вялость;бессоница;зуд в области анального отверстия;скрежет зубами;недержание при мочеиспускании;снижение аппетита
Эхинококкоз,боль в правом подреберье;вялость;недомогание;утомляемость;парезы;аллергические реакции;желтуха;увеличенная печень;боль в груди;кашель;отдышка;головная боль;головокружение;рвота;паралич
Ячмень на глазу,припухлость кожи;покраснение кожи;зуд;дискомфорт;увеличенные лимфатические узлы;боль в глазах;отек коньюнктивы;гнойные истечения;температура
